name,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
Karl-Anthony Towns,29:34,5,15,.333,1,7,.143,0,2,.000,1,9,10,2,0,0,4,2,11,-11
Anthony Edwards,27:41,6,15,.400,1,4,.250,5,6,.833,0,2,2,5,2,1,1,4,18,-12
Rudy Gobert,25:43,3,5,.600,0,0,,2,4,.500,2,11,13,0,0,2,1,3,8,-28
Mike Conley,24:57,3,5,.600,2,3,.667,0,0,,0,4,4,3,0,0,0,0,8,-18
Nickeil Alexander-Walker,23:30,2,6,.333,2,4,.500,1,2,.500,0,1,1,0,0,1,0,1,7,-6
Kyle Anderson,25:57,5,11,.455,1,3,.333,0,0,,0,1,1,3,2,1,0,1,11,-15
Jaylen Nowell,21:54,4,10,.400,3,6,.500,1,2,.500,1,0,1,2,0,0,1,1,12,-13
Taurean Prince,21:17,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,1,0,-14
Austin Rivers,16:12,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,1,0,3,-12
Jordan McLaughlin,10:19,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,2,0,-8
Josh Minott,6:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,1,1,1,0,-4
Nathan Knight,4:33,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,-5
Wendell Moore Jr.,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+1
Karl-Anthony Towns,9:27,1,5,.200,0,2,.000,0,0,,1,0,1,0,0,0,1,1,2,-3
Anthony Edwards,9:27,2,5,.400,1,1,1.000,0,0,,0,2,2,3,0,0,0,1,5,-3
Rudy Gobert,7:35,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,1,2,-6
Mike Conley,8:18,2,2,1.000,1,1,1.000,0,0,,0,2,2,2,0,0,0,0,5,+1
Nickeil Alexander-Walker,8:54,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,-4
Kyle Anderson,6:58,3,5,.600,0,1,.000,0,0,,0,0,0,0,1,0,0,0,6,+3
Taurean Prince,5:39,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Jordan McLaughlin,3:42,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-4
Karl-Anthony Towns,7:18,1,3,.333,0,1,.000,0,0,,0,3,3,1,0,0,1,1,2,-4
Anthony Edwards,9:12,4,8,.500,0,1,.000,1,2,.500,0,0,0,0,1,0,0,1,9,-5
Rudy Gobert,8:13,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,2,0,0,3,-6
Mike Conley,5:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8
Nickeil Alexander-Walker,4:49,0,2,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-3
Kyle Anderson,7:21,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-5
Jaylen Nowell,8:19,1,2,.500,1,1,1.000,1,2,.500,1,0,1,1,0,0,0,1,4,-6
Taurean Prince,8:59,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-3
Karl-Anthony Towns,16:45,2,8,.250,0,3,.000,0,0,,1,3,4,1,0,0,2,2,4,-7
Anthony Edwards,18:39,6,13,.462,1,2,.500,1,2,.500,0,2,2,3,1,0,0,2,14,-8
Rudy Gobert,15:48,2,3,.667,0,0,,1,2,.500,2,6,8,0,0,2,0,1,5,-12
Mike Conley,14:07,2,3,.667,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,5,-7
Nickeil Alexander-Walker,13:43,1,5,.200,1,3,.333,1,2,.500,0,1,1,0,0,1,0,1,4,-7
Kyle Anderson,14:19,4,8,.500,0,2,.000,0,0,,0,1,1,0,1,0,0,0,8,-2
Jaylen Nowell,8:19,1,2,.500,1,1,1.000,1,2,.500,1,0,1,1,0,0,0,1,4,-6
Taurean Prince,14:38,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-2
Jordan McLaughlin,3:42,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-4
Karl-Anthony Towns,7:26,0,3,.000,0,3,.000,0,2,.000,0,5,5,0,0,0,2,0,0,-8
Anthony Edwards,3:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-8
Rudy Gobert,9:55,1,2,.500,0,0,,1,2,.500,0,5,5,0,0,0,1,2,3,-16
Mike Conley,7:26,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-8
Nickeil Alexander-Walker,7:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-6
Kyle Anderson,8:39,1,3,.333,1,1,1.000,0,0,,0,0,0,3,1,1,0,1,3,-10
Jaylen Nowell,4:34,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,-10
Taurean Prince,6:39,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-12
Austin Rivers,4:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-12
Karl-Anthony Towns,5:23,3,4,.750,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,7,+4
Anthony Edwards,5:41,0,2,.000,0,2,.000,4,4,1.000,0,0,0,2,1,1,0,0,4,+4
Mike Conley,3:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Nickeil Alexander-Walker,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
